#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-08-29T22:59:07 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57c4b45127c9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/139/120&tab:{J/AJ/139/120/table2}&key:source=J/AJ/139/120/table2&HTTPPRM:&&-ref=VIZ57c4b45127c9&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=SN&-out=f_SN&-out=Band&-out=Tmax&-out=e_Tmax&-out=mmax&-out=e_mmax&-out=Dm&-out=e_Dm&-out=Epmin&-out=Epmax&-out=Np&-out=Fit&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/139/120/table2&
#-source= J/AJ/139/120/table2
#-order=I
#-out=SN
#-out=f_SN
#-out=Band
#-out=Tmax
#-out=e_Tmax
#-out=mmax
#-out=e_mmax
#-out=Dm
#-out=e_Dm
#-out=Epmin
#-out=Epmax
#-out=Np
#-out=Fit
#-out.src=J/AJ/139/120/table2
#

#RESOURCE=yCat_51390120
#Name: J/AJ/139/120
#Title: Low-redshift Type-Ia supernovae (Folatelli+, 2010)
#Table	J_AJ_139_120_table2:
#Name: J/AJ/139/120/table2
#Title: Light-curve parameters
#Column	SN	(A6)	SN name \linkRole{observational properties }	[ucd=meta.id;meta.main]
#Column	f_SN	(A1)	[B] Indicates part of "best-observed" group	[ucd=meta.code]
#Column	Band	(A1)	Filter name	[ucd=instr.bandpass]
#Column	Tmax	(F7.2)	Julian Date of maximum; minus 2453000	[ucd=time.epoch;stat.max]
#Column	e_Tmax	(F5.2)	Uncertainty in Tmax	[ucd=stat.error]
#Column	mmax	(F6.3)	Apparent peak magnitude; K-corrected	[ucd=phot.mag]
#Column	e_mmax	(F6.3)	Uncertainty in mmax	[ucd=stat.error]
#Column	Dm	(F6.3)	? Decline rate (1)	[ucd=src.var.amplitude]
#Column	e_Dm	(F6.3)	? Uncertainty Dm	[ucd=stat.error]
#Column	Epmin	(F5.1)	First epoch covered by data (2)	[ucd=time.epoch]
#Column	Epmax	(F6.1)	Last epoch covered by data (2)	[ucd=time.epoch]
#Column	Np	(I2)	[2/62] Number of data points	[ucd=meta.number]
#Column	Fit	(A6)	Fit method; "Spline" or "Templ." (template fit) see section 2.2 for details.	[ucd=meta.note]
SN	f_SN	Band	Tmax	e_Tmax	mmax	e_mmax	Dm	e_Dm	Epmin	Epmax	Np	Fit
2006D 	B	Y	 754.38	 0.05	14.650	 0.050	      	      	 -0.5	  92.1	33	Templ.
2006D 	B	J	 754.81	 0.05	14.395	 0.050	      	      	 -0.9	  91.7	27	Templ.
2006D 	B	H	 754.47	 0.06	14.533	 0.050	      	      	 -0.7	  92.0	28	Templ.
2006D 	B	K	 755.63	 0.05	14.532	 0.058	      	      	 -1.8	  90.9	 8	Templ.
2006X 	B	B	 786.15	 0.12	15.321	 0.003	 0.579	 0.007	-10.4	 119.7	41	Spline
2006X 	B	V	 788.91	 0.07	14.090	 0.006	 0.938	 0.009	-13.2	 116.9	41	Spline
2006X 	B	u	 784.55	 0.21	17.373	 0.013	 1.113	 0.028	 -8.8	  56.9	23	Spline
2006X 	B	g	 787.79	 0.07	14.771	 0.003	 0.805	 0.007	-12.1	 110.2	39	Spline
2006X 	B	r	 788.77	 0.16	13.643	 0.006	 1.263	 0.008	-13.0	 109.2	39	Spline
2006X 	B	i	 784.54	 0.18	13.836	 0.005	 0.799	 0.011	 -8.8	 113.4	39	Spline
2006X 	B	Y	 777.62	 2.06	13.346	 0.059	      	      	 -0.8	  90.5	42	Spline
2006X 	B	J	 782.77	 0.15	12.824	 0.009	 1.557	 0.015	 -5.9	  85.4	43	Spline
2006X 	B	H	 781.69	 0.27	12.995	 0.007	 0.444	 0.013	 -4.8	  86.5	42	Spline
2006X 	B	K	 783.95	 0.09	12.790	 0.031	      	      	  0.9	  63.1	18	Templ.
2006ax	B	B	 827.40	 0.13	15.202	 0.003	 0.493	 0.010	-11.6	  70.0	29	Spline
2006ax	B	V	 828.51	 0.09	15.213	 0.002	 0.927	 0.006	-12.7	  68.9	26	Spline
2006ax	B	u	 825.70	 0.10	15.545	 0.007	 1.346	 0.018	 -9.9	  45.1	21	Spline
2006ax	B	g	 827.65	 0.06	15.147	 0.003	 0.789	 0.007	-11.8	  69.7	26	Spline
2006ax	B	r	 828.74	 0.12	15.314	 0.003	 1.137	 0.007	-12.9	  68.6	26	Spline
2006ax	B	i	 824.06	 0.28	15.822	 0.006	 0.745	 0.010	 -8.3	  73.2	26	Spline
2006ax	B	Y	 823.46	 0.17	15.841	 0.008	 0.043	 0.017	 -5.6	  45.4	36	Spline
2006ax	B	J	 823.85	 0.19	15.756	 0.011	 1.494	 0.030	 -6.0	  45.0	33	Spline
2006ax	B	H	 823.58	 0.13	15.914	 0.019	 0.410	 0.045	 -5.7	  45.3	25	Spline
2006ax	B	K	 824.53	 0.07	15.862	 0.064	      	      	  9.3	  19.5	 6	Templ.
2006bh	B	B	 833.73	 0.06	14.456	 0.005	 0.729	 0.007	 -4.8	  59.4	25	Spline
2006bh	B	V	 834.88	 0.08	14.461	 0.002	 1.154	 0.007	 -5.9	  58.3	26	Spline
2006bh	B	u	 831.88	 0.08	14.867	 0.005	 1.614	 0.010	 -2.0	  61.3	21	Spline
2006bh	B	g	 834.48	 0.25	14.413	 0.006	 1.143	 0.007	 -5.5	  58.7	24	Spline
2006bh	B	r	 835.03	 0.11	14.497	 0.006	 1.676	 0.008	 -6.1	  58.1	26	Spline
2006bh	B	i	 830.36	 0.11	14.975	 0.004	 1.322	 0.009	 -1.4	  62.8	25	Spline
2006bh	B	Y	 830.12	 0.04	14.881	 0.050	      	      	 -0.2	  39.2	24	Templ.
2006bh	B	J	 830.56	 0.04	14.801	 0.050	      	      	 -0.7	  38.7	21	Templ.
2006bh	B	H	 830.26	 0.04	14.977	 0.050	      	      	 -0.3	  39.1	19	Templ.
2006eq	 	B	 977.11	 0.35	18.593	 0.023	      	      	  4.8	  49.9	14	Templ.
2006eq	 	V	 979.02	 0.35	18.328	 0.013	      	      	  2.8	  53.1	16	Templ.
2006eq	 	u	 975.45	 0.35	19.339	 0.142	      	      	  6.5	  29.5	 6	Templ.
2006eq	 	g	 977.80	 0.35	18.451	 0.014	      	      	  4.0	  54.4	17	Templ.
2006eq	 	r	 979.08	 0.35	18.241	 0.009	      	      	  2.7	  66.8	18	Templ.
2006eq	 	i	 976.88	 0.35	18.653	 0.014	      	      	  5.0	  69.1	18	Templ.
2006eq	 	Y	 975.41	 0.35	18.455	 0.025	      	      	  5.4	  43.2	12	Templ.
2006eq	 	J	 976.21	 0.35	18.459	 0.083	      	      	  4.6	  42.4	 9	Templ.
2006eq	 	H	 977.27	 0.35	18.281	 0.138	      	      	  3.5	  41.3	 9	Templ.
2006gt	B	B	1004.01	 0.28	18.343	 0.014	      	      	 -2.2	  59.9	12	Spline
2006gt	B	V	1005.53	 0.37	18.112	 0.009	      	      	 -3.7	  58.4	13	Spline
2006gt	B	u	1001.53	 0.12	19.048	 0.048	      	      	  0.1	  18.0	 5	Templ.
2006gt	B	g	1004.63	 0.18	18.183	 0.009	      	      	 -2.8	  59.3	12	Spline
2006gt	B	r	1005.65	 0.33	18.153	 0.011	      	      	 -3.8	  58.3	13	Spline
2006gt	B	i	1002.49	 2.22	18.464	 0.031	      	      	 -0.8	  61.4	13	Spline
2006gt	B	Y	1002.92	 0.12	18.387	 0.024	      	      	 -0.3	  47.9	20	Templ.
2006gt	B	J	1003.29	 0.12	18.358	 0.053	      	      	 -0.6	  39.1	16	Templ.
2006gt	B	H	1004.08	 0.12	18.236	 0.088	      	      	 -1.4	  38.3	11	Templ.
2006mr	B	B	1050.94	 0.12	15.402	 0.014	 1.425	 0.029	 -4.2	  96.1	30	Spline
2006mr	B	V	1052.83	 0.08	14.612	 0.010	 1.761	 0.019	 -6.1	  94.2	31	Spline
2006mr	B	u	1049.46	 0.18	16.616	 0.017	 2.068	 0.054	 -2.8	  50.9	19	Spline
2006mr	B	g	1051.37	 0.11	15.020	 0.011	 1.647	 0.017	 -4.7	  95.6	31	Spline
2006mr	B	r	1053.72	 0.07	14.378	 0.014	 2.407	 0.019	 -7.0	  93.3	32	Spline
2006mr	B	i	1054.59	 0.17	14.503	 0.009	 2.328	 0.028	 -7.9	  92.4	31	Spline
2006mr	B	Y	1056.45	 0.19	14.014	 0.007	 2.404	 0.022	 -8.7	  80.7	29	Spline
2006mr	B	J	1054.12	 0.12	14.056	 0.007	 3.486	 0.119	 -6.4	  83.0	19	Spline
2006mr	B	H	1055.31	 0.07	13.850	 0.006	 3.299	 0.081	 -7.6	  81.8	27	Spline
2006py	B	B	1070.57	 0.32	18.140	 0.016	      	      	 -1.1	  22.2	 7	Templ.
2006py	B	V	1072.16	 0.32	18.019	 0.013	      	      	 -2.8	  20.6	 7	Templ.
2006py	B	u	1069.35	 0.32	18.594	 0.052	      	      	  0.2	  19.3	 5	Templ.
2006py	B	g	1071.16	 0.32	18.050	 0.010	      	      	 -1.7	  17.4	 6	Templ.
2006py	B	r	1072.56	 0.32	18.058	 0.009	      	      	 -3.2	  20.1	 7	Templ.
2006py	B	i	1068.11	 0.32	18.556	 0.018	      	      	  1.5	  24.9	 7	Templ.

